rgb_img_name,ir_img_name,x,y,z,latitude(°),longitude(°),altitude(m),roll(rad),pitch(rad),yaw(rad)
rgb_img_11.png,ir_img_11.png,-0.784366,-0.039562,-40.209949,40.280245,-3.821645,723.294000,-0.095762,-0.041993,-0.727858
rgb_img_12.png,ir_img_12.png,-4.455181,-3.858994,-41.335697,40.280214,-3.821687,723.777000,-0.016538,-0.084476,-2.448551
rgb_img_13.png,ir_img_13.png,-12.061604,-9.795958,-41.331223,40.280146,-3.821756,723.514000,-0.016254,-0.105157,-2.460459
rgb_img_14.png,ir_img_14.png,-19.742088,-16.026833,-41.586201,40.280076,-3.821829,723.866000,-0.007647,-0.107319,-2.450159
rgb_img_15.png,ir_img_15.png,-27.456593,-22.350340,-41.842541,40.280007,-3.821903,723.911000,-0.002403,-0.113096,-2.433302
rgb_img_16.png,ir_img_16.png,-29.655622,-24.452158,-41.754189,40.279984,-3.821930,724.430000,-0.012464,-0.090834,-2.442977
rgb_img_17.png,ir_img_17.png,-26.479807,-23.390396,-41.923206,40.280013,-3.821920,725.835000,-0.055320,-0.030121,-0.980868
rgb_img_18.png,ir_img_18.png,-23.095299,-21.989317,-41.779816,40.280043,-3.821904,726.461000,-0.046830,0.073740,0.224192
rgb_img_19.png,ir_img_19.png,-22.236341,-21.429329,-41.767651,40.280051,-3.821897,726.989000,-0.085672,0.050308,0.208987
rgb_img_20.png,ir_img_20.png,-19.597309,-17.012381,-41.776333,40.280074,-3.821846,727.229000,-0.050319,0.030527,0.991979
rgb_img_21.png,ir_img_21.png,-17.521955,-13.025201,-42.130589,40.280093,-3.821797,726.682000,-0.022300,0.036906,1.074451
rgb_img_22.png,ir_img_22.png,-20.846796,-14.106386,-41.924885,40.280065,-3.821808,725.285000,0.006464,-0.004660,2.519660
rgb_img_23.png,ir_img_23.png,-23.732424,-15.369728,-41.964973,40.280039,-3.821823,725.449000,-0.002587,-0.009691,-2.814921
rgb_img_24.png,ir_img_24.png,-26.133705,-16.231230,-41.935974,40.280019,-3.821832,725.815000,0.024422,0.033269,-2.777873
rgb_img_25.png,ir_img_25.png,-28.068893,-17.029490,-41.823071,40.280001,-3.821842,726.041000,-0.019747,-0.317220,-2.777153
rgb_img_26.png,ir_img_26.png,-31.116098,-18.192442,-41.726643,40.279971,-3.821857,725.590000,0.006784,-0.096175,-2.820963
rgb_img_27.png,ir_img_27.png,-31.873276,-18.169857,-41.735237,40.279965,-3.821858,725.385000,-0.198057,-0.213539,2.847327
rgb_img_28.png,ir_img_28.png,-33.612362,-12.496787,-41.809414,40.279948,-3.821791,725.480000,0.072313,0.037798,1.761988
rgb_img_29.png,ir_img_29.png,-30.680771,-10.710842,-41.723145,40.279973,-3.821769,725.488000,-0.076457,0.078121,0.256157
rgb_img_30.png,ir_img_30.png,-27.969570,-9.670071,-41.470718,40.279996,-3.821757,724.689000,-0.083676,0.193252,0.272056
rgb_img_31.png,ir_img_31.png,-26.166225,-9.056008,-41.840096,40.280011,-3.821751,725.268000,-0.075402,-0.084936,0.355199
rgb_img_32.png,ir_img_32.png,-23.463823,-8.138198,-41.994045,40.280039,-3.821738,725.065000,-0.032685,-0.056485,0.398477
rgb_img_33.png,ir_img_33.png,-20.040379,-6.804952,-41.779213,40.280070,-3.821723,725.401000,-0.045621,0.008159,0.327039
rgb_img_34.png,ir_img_34.png,-13.555637,-4.436432,-41.922394,40.280126,-3.821696,725.492000,-0.059104,-0.045624,0.318168
rgb_img_35.png,ir_img_35.png,-4.117264,-1.339715,-41.767014,40.280209,-3.821661,724.963000,-0.063756,-0.023830,0.326155
