rgb_img_name,ir_img_name,x,y,z,q_x,q_y,q_z,q_w,yaw(rad)
rgb_img_8.png,ir_img_8.png,-2.869589,-1.652459,-32.879318,-0.006147,-0.005244,-0.197507,0.980268,-0.397578
rgb_img_9.png,ir_img_9.png,-6.693773,-0.784928,-34.521851,-0.047118,-0.028738,-0.364684,0.929494,-0.744838
rgb_img_10.png,ir_img_10.png,-13.316214,-8.047116,-34.474968,-0.017474,0.006150,-0.928980,0.369667,-2.383815
rgb_img_11.png,ir_img_11.png,-20.483467,-14.734324,-34.559940,-0.015374,0.008687,-0.928273,0.371480,-2.379959
rgb_img_12.png,ir_img_12.png,-27.707024,-21.657156,-34.662331,-0.001528,0.021912,-0.936135,0.350954,-2.424496
rgb_img_13.png,ir_img_13.png,-28.976601,-23.714071,-34.665760,-0.002891,0.017606,-0.936294,0.350763,-2.424823
rgb_img_14.png,ir_img_14.png,-27.731148,-23.524841,-34.610798,0.076757,0.116129,-0.990201,0.011149,-3.137288
rgb_img_15.png,ir_img_15.png,-23.269537,-17.665607,-34.615463,-0.000128,0.014057,-0.387924,-0.921584,0.796979
rgb_img_16.png,ir_img_16.png,-25.848667,-17.291470,-34.667587,0.069523,0.062801,-0.909512,-0.404982,2.297237
rgb_img_17.png,ir_img_17.png,-27.855270,-17.204882,-34.654701,-0.045472,0.028046,-0.997333,0.049724,-3.039286
rgb_img_18.png,ir_img_18.png,-30.351660,-17.181231,-34.625710,-0.040820,0.076348,-0.990412,-0.107655,2.932063
rgb_img_19.png,ir_img_19.png,-32.599731,-11.280134,-34.575130,-0.002337,0.038114,-0.769191,-0.637878,1.758362
rgb_img_20.png,ir_img_20.png,-29.107370,-10.550646,-34.752270,-0.013605,-0.027162,-0.113288,-0.993098,0.228014
rgb_img_21.png,ir_img_21.png,-26.861721,-10.479474,-34.661907,-0.003680,0.017261,0.046787,-0.998749,-0.093777
rgb_img_22.png,ir_img_22.png,-24.488569,-10.500464,-34.613148,-0.004247,0.147930,0.017058,-0.988842,-0.036600
rgb_img_23.png,ir_img_23.png,-21.233932,-10.643784,-34.696888,-0.004552,0.019849,0.043913,-0.998828,-0.088086
rgb_img_24.png,ir_img_24.png,-13.492391,-6.961408,-34.681286,-0.013697,0.035921,-0.224624,-0.973687,0.453052
rgb_img_25.png,ir_img_25.png,-4.777148,-2.620344,-34.575718,0.000653,-0.005444,-0.223220,-0.974753,0.450247
rgb_img_26.png,ir_img_26.png,-4.223782,-2.205022,-30.247175,-0.003486,0.036315,-0.130414,-0.990788,0.261841
