rgb_img_name,ir_img_name,x,y,z,q_x,q_y,q_z,q_w,yaw(rad)
rgb_img_1.png,ir_img_1.png,-3.266700,0.677134,1.155216,0.000603,-0.019669,0.118024,0.992816,0.236714
rgb_img_2.png,ir_img_2.png,-3.549218,0.575585,0.548399,0.017970,-0.024043,-0.017740,0.999392,-0.036371
rgb_img_3.png,ir_img_3.png,-3.136206,0.789698,-5.885687,0.013771,-0.019976,-0.185809,0.982286,-0.374491
rgb_img_4.png,ir_img_4.png,-4.061397,-0.479284,-8.666768,-0.027489,-0.199687,-0.269788,0.941586,-0.570489
rgb_img_5.png,ir_img_5.png,4.406053,-5.735865,-8.603498,0.016218,-0.052842,-0.233054,0.970892,-0.473855
rgb_img_6.png,ir_img_6.png,4.819594,-6.176805,-8.814822,0.024308,-0.027555,-0.253905,0.966531,-0.515036
rgb_img_7.png,ir_img_7.png,6.553246,-5.689029,-9.046612,0.010247,-0.046930,0.137835,0.989290,0.276518
rgb_img_8.png,ir_img_8.png,11.078368,-4.601681,-8.750245,-0.000425,-0.038251,0.163147,0.985860,0.328505
rgb_img_9.png,ir_img_9.png,11.932985,-4.206710,-8.695836,-0.017020,-0.031326,0.156387,0.987052,0.315494
rgb_img_10.png,ir_img_10.png,12.069290,-4.893044,-8.930061,-0.002265,-0.034724,-0.314472,0.948629,-0.640794
rgb_img_11.png,ir_img_11.png,13.060961,-9.426385,-8.870645,0.029561,0.009384,-0.696633,0.716757,-1.541519
rgb_img_12.png,ir_img_12.png,12.840129,-10.322510,-9.157542,0.048813,-0.011447,-0.705809,0.706626,-1.567385
rgb_img_13.png,ir_img_13.png,9.383101,-8.224004,-8.610037,0.034704,0.049436,-0.948584,-0.310710,2.506482
rgb_img_14.png,ir_img_14.png,5.630256,-5.357350,-9.086905,0.028297,0.055663,-0.954169,-0.292683,2.545013
rgb_img_15.png,ir_img_15.png,1.699825,-2.431546,-9.010049,0.048624,0.040893,-0.955904,-0.286726,2.555056
rgb_img_16.png,ir_img_16.png,-2.213582,0.308554,-8.571804,0.057452,0.016456,-0.757154,-0.650497,1.718759
rgb_img_17.png,ir_img_17.png,-3.033804,0.941544,-4.187816,0.006238,0.023361,-0.154718,-0.987663,0.311208
rgb_img_18.png,ir_img_18.png,-3.306454,0.776494,-3.752603,0.019386,0.032946,-0.171221,-0.984491,0.345837
rgb_img_19.png,ir_img_19.png,-3.055423,0.590150,-0.229396,-0.005872,0.029098,-0.164692,-0.985898,0.330979
rgb_img_20.png,ir_img_20.png,-2.888217,0.582384,0.595516,-0.002460,0.026555,-0.159088,-0.986904,0.319744
rgb_img_21.png,ir_img_21.png,-2.755350,0.545461,1.003499,-0.002557,0.027268,-0.158504,-0.986978,0.318570
