rgb_img_name,ir_img_name,x,y,z,q_x,q_y,q_z,q_w,yaw(rad)
rgb_img_1.png,ir_img_1.png,-0.211066,1.031833,9.170053,-0.005462,-0.019897,-0.019073,0.999605,-0.037953
rgb_img_2.png,ir_img_2.png,-0.199993,1.021161,9.142118,-0.005538,-0.020016,-0.019029,0.999603,-0.037860
rgb_img_3.png,ir_img_3.png,-0.186448,1.007443,9.112706,-0.005922,-0.020034,-0.019040,0.999600,-0.037867
rgb_img_4.png,ir_img_4.png,0.004977,0.965606,9.043221,-0.005237,0.006132,-0.020249,0.999763,-0.040566
rgb_img_5.png,ir_img_5.png,-0.452688,1.128057,5.352983,-0.015694,0.013666,-0.432155,0.901559,-0.894193
rgb_img_6.png,ir_img_6.png,-0.498602,1.073154,7.313373,-0.009732,-0.000366,-0.456286,0.889780,-0.947602
rgb_img_7.png,ir_img_7.png,-0.354323,1.154763,7.708385,0.000448,-0.014798,-0.462572,0.886458,-0.962089
rgb_img_8.png,ir_img_8.png,-0.039595,0.999915,7.672367,-0.001241,-0.018325,-0.468934,0.883042,-0.976597
rgb_img_9.png,ir_img_9.png,0.100612,1.021054,7.727922,-0.000813,-0.018918,-0.472650,0.881047,-0.985064
rgb_img_10.png,ir_img_10.png,0.191040,1.010620,7.737712,-0.000506,-0.018816,-0.475827,0.879337,-0.992286
rgb_img_11.png,ir_img_11.png,0.346844,0.864833,7.653576,0.000053,-0.018248,-0.477884,0.878233,-0.996951
rgb_img_12.png,ir_img_12.png,0.427698,0.740145,7.601077,0.000431,-0.017247,-0.479015,0.877637,-0.999485
rgb_img_13.png,ir_img_13.png,0.495657,0.714448,7.636776,-0.001206,-0.019408,-0.479966,0.877071,-1.001730
rgb_img_14.png,ir_img_14.png,1.809168,-0.052177,7.608941,-0.004978,-0.019596,-0.066659,0.997571,-0.133298
rgb_img_15.png,ir_img_15.png,1.769364,0.113409,7.614947,-0.004562,-0.022044,-0.059161,0.997995,-0.118276
rgb_img_16.png,ir_img_16.png,1.713781,0.077886,7.602598,-0.005011,-0.022165,-0.052748,0.998349,-0.105400
rgb_img_17.png,ir_img_17.png,1.632647,0.052415,7.590172,-0.004955,-0.021974,-0.047067,0.998638,-0.094019
rgb_img_18.png,ir_img_18.png,1.545287,0.030999,7.575367,-0.005156,-0.021717,-0.042186,0.998860,-0.084232
rgb_img_19.png,ir_img_19.png,1.283291,0.125061,6.539647,-0.003687,-0.001473,-0.324540,0.945864,-0.661040
rgb_img_20.png,ir_img_20.png,1.623973,-0.000939,-0.033603,0.008205,0.024857,-0.369571,0.928834,-0.757449
rgb_img_21.png,ir_img_21.png,1.507775,0.046634,-11.018463,-0.001775,0.013508,-0.367157,0.930059,-0.752132
rgb_img_22.png,ir_img_22.png,1.110335,0.236284,-17.036327,-0.035931,0.077382,-0.731566,0.676411,-1.653357
rgb_img_23.png,ir_img_23.png,8.466515,-5.031546,-17.339104,0.013869,0.068426,-0.336590,0.939060,-0.689735
rgb_img_24.png,ir_img_24.png,9.083490,-5.497026,-17.456215,0.003644,0.022400,-0.331193,0.943290,-0.675494
rgb_img_25.png,ir_img_25.png,9.207415,-5.528780,-17.450611,0.037330,-0.075496,-0.132025,0.987662,-0.272407
rgb_img_26.png,ir_img_26.png,13.870009,-4.333179,-17.488653,0.004741,-0.009044,0.113965,0.993432,0.228369
rgb_img_27.png,ir_img_27.png,16.153040,-3.786420,-17.482422,0.002873,-0.004225,0.114246,0.993439,0.228974
rgb_img_28.png,ir_img_28.png,16.279375,-3.722230,-17.457754,0.000460,-0.004011,0.112293,0.993667,0.225063
rgb_img_29.png,ir_img_29.png,17.082449,-7.456334,-17.417624,-0.010915,0.010511,-0.655344,0.755179,-1.429498
rgb_img_30.png,ir_img_30.png,17.406488,-9.657475,-17.475576,-0.005728,0.017199,-0.655715,0.754791,-1.430832
rgb_img_31.png,ir_img_31.png,17.369556,-9.760819,-17.425924,-0.006936,0.016225,-0.658223,0.752617,-1.437427
rgb_img_32.png,ir_img_32.png,13.622653,-10.996300,-17.467051,-0.026827,0.031568,-0.994962,0.091299,-2.956966
rgb_img_33.png,ir_img_33.png,10.445650,-11.589987,-17.413044,-0.016046,0.024288,-0.995928,0.085326,-2.969949
rgb_img_34.png,ir_img_34.png,10.274911,-11.610589,-17.423817,-0.013720,0.025769,-0.995723,0.087651,-2.965377
rgb_img_35.png,ir_img_35.png,8.368010,-9.358730,-17.618944,-0.012695,0.037961,-0.891931,-0.450397,2.207968
rgb_img_36.png,ir_img_36.png,5.583928,-5.339528,-17.473179,-0.019909,0.031630,-0.892675,-0.449148,2.210505
rgb_img_37.png,ir_img_37.png,2.558607,-1.279672,-17.431921,0.032931,0.011586,-0.855509,-0.516610,2.053885
rgb_img_38.png,ir_img_38.png,2.296594,-0.785987,-12.586578,-0.005329,0.001008,0.007064,-0.999960,-0.014138
rgb_img_39.png,ir_img_39.png,2.066091,-0.543944,-7.659239,-0.003475,-0.004300,0.011093,-0.999923,-0.022157
rgb_img_40.png,ir_img_40.png,1.783626,-0.311565,-2.637383,-0.006447,0.004876,0.006102,-0.999949,-0.012267
rgb_img_41.png,ir_img_41.png,1.600738,0.008194,1.909982,0.000480,0.004607,0.010388,-0.999935,-0.020773
rgb_img_42.png,ir_img_42.png,1.573992,0.020892,2.525902,0.000414,0.005143,0.013698,-0.999893,-0.027394
rgb_img_43.png,ir_img_43.png,1.546771,0.043462,5.879065,0.000821,0.007505,0.004292,-0.999962,-0.008572
rgb_img_44.png,ir_img_44.png,1.331181,0.120956,6.758593,0.000032,0.008594,0.001052,-0.999963,-0.002104
rgb_img_45.png,ir_img_45.png,-2.731854,-2.271195,5.989353,-0.156000,0.033088,-0.820882,-0.548381,1.945369
